,Created_At,Tweets
0,,Tweets
1,2021-10-23 06:55:05+00:00,b'@jibrilss15 @jibrilbangi Syukur... done beli via ShopeeFood https://t.co/w5f34kaKf3'
2,2021-10-23 06:52:15+00:00,b'KESEL BGT BELI SHOPEEFOOD LUPA NYALAIN DISKON VOC SAMA FREE ONGKIR. \n\nMANA JAUH SAMA MAHAL \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
3,2021-10-23 06:32:42+00:00,b'2 nasi padang lauk ayam sama sayur + es teh cuman 15k \xf0\x9f\x98\xad shopeefood aku padamuuu huhuhuu'
4,2021-10-23 06:17:33+00:00,b'@Mundur41149832 shopeefood klau ngakpunya shopepay gabisa dapet voucernya kan?'
5,2021-10-23 06:10:57+00:00,"b'Spaghetti Aglio E Olio biasa? bukan! spaghetti masakane simbah sing iki dimasak pake bumbu Roa, cocok nggo ilat indonesia,  dijamin nampolll\n\nAda di warung mbah sambat. Bisa dine in/take away. Bisa juga pesen lewat GoFood/ShopeeFood. https://t.co/z4FOgTK66V'"
6,2021-10-23 06:07:49+00:00,"b'Ngakak + malu banget, masa pesen shopeefood kirimnya ke titik yang jelas jelas udah tutup cabang nya wkwk'"
7,2021-10-23 05:59:55+00:00,"b'barangkali ada yg tinggal di sekitar daerah pasar rumput manggarai jaksel, boleh diorder ayam bakar mamaku, available on grabfood, gofood, dan shopeefood :D keywordnya Ayam Bakar Mak Tuo Pasar rumput, makan ditempat pun bisa, lokasinya di gedung pasar rumput lt. 3 ruko 20'"
8,2021-10-23 05:59:35+00:00,b'Shopeefood adalah penyelamat hidup'
9,2021-10-23 05:54:09+00:00,b'Baru kali ini deh beli makanan lewat shopeefood zonk. Pesen apa yg dateng apa \xf0\x9f\x98\x82'
10,2021-10-23 05:50:46+00:00,b'Hallo @shopeefood_id bgmn sistemnya nih? Masak saya blm terima orderan saya tp di aplikasi dibilang sdh complete dan diminta ratingnya?\nMau saya kasih rating 0 tp gak bisa ...'
11,2021-10-23 05:47:26+00:00,b'Terbaik gila Shopeefood ni. Murah pun murah. Ngam ngam aku malas masak harini'
12,2021-10-23 05:46:38+00:00,"b'tadii ketemu abang shopeefood ganteng bgt huhuu, pen gebet rasanya :)'"
13,2021-10-23 05:43:19+00:00,b'Boleh order dengan ShopeeFood dan Grabfood. Order skunk!!! https://t.co/7Jrd2QynLt'
14,2021-10-23 05:20:11+00:00,b'Mari ngecek ada grabfood/shopeefood apa yg enak di cikini~'
15,2021-10-23 05:17:59+00:00,"b'JUST HAD APA YA SEMALEM BUT SOKLATTTTTTTTTT still prefer the hot one kemaren coba icednya agak gimana ya, kaya ada lotus lotusnya gitu apa gw cuma kebayang cheesecake lotus I found on shopeefood \xf0\x9f\xa7\x8d https://t.co/DYMjWS5Isd'"
16,2021-10-23 05:07:55+00:00,b'@ShopeeCare si @gojekindonesia bisa menyelesaikan masalah dalam 2 jam (makanan dikirim lagi dengan extra menu dan refund dari pihak gojek nya juga) knapa shopeefood sampe seminggu ya? Tidak sebaik dan secepat gojek pelayanan nya. Ditambah cs shopee hanya copas copas text saja.'
17,2021-10-23 05:07:45+00:00,b'@Askrlfess yang kamu pesen vouchernya masihan\nkalau shopeefood yang ada di bawah koin https://t.co/gKZeWLTVr7'
18,2021-10-23 05:04:05+00:00,b'@Askrlfess Maaf nder tapi itu kayanya km bukan order shopeefood tapi beli voucher cashback doang'
19,2021-10-23 05:03:41+00:00,"b'@Askrlfess ini bukan shopeefood nder, itu cuman voucher nha aja'"
20,2021-10-23 05:02:05+00:00,"b'@ShopeeCare tgl 18 pesen shopeefood tapi aneh ya padahal 12.10 titik driver nya belum di lokasi penjual tapi di 12.12 di driver klik ambil dan di menit yg sama di selesaikan? Dan pesanan tidak saya terima, fitur hubungi driver tidak ada jadi tidak bisa konfirmasi ke driver. https://t.co/L4s5AQmAfS'"
21,2021-10-23 04:55:38+00:00,b'@fimegasari Apalagi gaada shopeefood:('
22,2021-10-23 04:54:35+00:00,b'@shopeefood_id kapan buka pendaftaran merchant lagi minnnnnn'
23,2021-10-23 04:50:11+00:00,b'top up uangku ordernya di shopeefood'
24,2021-10-23 04:28:22+00:00,"b'@in_rd_sa @ezash Astaga Dog :\xe2\x80\x99))\n\nSenja nitip lapak jualan Senja : Ricebox Wagyu, available di Jakarta dsk, bisa dipesan via GoFood/GrabFood/ShopeeFood (search : senjayummy). https://t.co/RgyLXHQgtM'"
25,2021-10-23 04:14:34+00:00,b'yg pake alamat gue sp si anjr tiap hari shopeefood sm gojek dateng mulu risihh'
